,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
74,The Glitch Mob,How To Be Eaten By A Woman - 2020 Remaster,5boDsGpqH3Tb8QqN6yA4im,24,0.302,0.482,0,-13.273,1,0.0555,0.358,0.853,0.238,0.0523,95.995,357968,4
75,Billie Eilish,Therefore I Am,54bFM56PmE4YLRnqpW6Tha,84,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,174321,4
76,Hammock,"Lonely, Some Quietly Wander in the Hall of Stars - 2020",6BcrKXMK65zFJg7nqTAz0f,25,0.0741,0.37,9,-17.19,0,0.0509,0.857,0.908,0.137,0.0396,69.759,447134,4
77,Tiësto,The Business,6f3Slt0GbA2bPZlz0aIFXN,91,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,164000,4
78,The Glitch Mob,We Swarm - 2020 Remaster,0Hn5QyztsQH1iL8SCnJlJu,23,0.668,0.737,7,-9.066,1,0.0496,0.00344,0.771,0.362,0.404,115.018,352322,4
79,The Glitch Mob,Fistful of Silence - 2020 Remaster,5Ypzq28Nc4sx115bAvfeOt,23,0.461,0.736,10,-9.193,1,0.0539,0.0541,0.644,0.697,0.455,160.01,309055,4
80,Don Toliver,After Party,527k23H0A4Q0UJN3vGs0Da,81,0.629,0.692,5,-8.045,1,0.0376,0.00981,0.331,0.603,0.453,162.948,167916,4
81,The Glitch Mob,"Starve The Ego, Feed The Soul - 2020 Remaster",6Cat51fsEsJ6rBx4tJJUof,23,0.386,0.515,9,-12.297,1,0.164,0.544,0.878,0.548,0.142,160.437,346268,4
82,Kane Brown,Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,79,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,191406,4
83,Hammock,Cruel Sparks - 2020,6cdsSC7BN7taFurOlOu2xI,23,0.165,0.381,0,-14.715,1,0.0417,0.278,0.665,0.0959,0.0386,71.448,329687,4
84,Pop Smoke,Hello (feat. A Boogie Wit da Hoodie),2r6OAV3WsYtXuXjvJ1lIDi,82,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.367,130.97,190534,4
85,The Distillers,The Blackest Years - 2020 Remaster,1uXbBsJ14Uni9zqWgC7hgk,23,0.142,0.752,7,-2.133,1,0.0778,0.000832,2.22e-06,0.306,0.203,160.938,450297,4
